20220323,1841,2,1,6,4,281120
20220321,1841,2,1,4,3,168000
20220212,1841,1,1,6,4,90000
20220317,1841,2,1,6,4,281120
20220315,1841,1,2,6,4,240960
20220115,1841,2,1,6,6,300000
20220117,1841,2,2,6,1,240000
20220415,1841,2,1,6,4,281120
20220421,1841,2,1,4,3,168000
20220321,1841,1,1,6,4,90000
20220417,1841,2,2,4,4,281120
20220515,1841,2,2,6,4,240960
20220115,1841,1,1,5,6,300000
20220117,1841,2,1,6,2,240000
20220323,1841,2,1,6,4,95000
20220321,1841,2,1,4,3,17000
20220212,1841,1,1,6,4,90000
20220317,1841,2,1,6,4,29000
20220315,1841,1,2,6,4,240960
20220115,1841,2,1,6,6,300000
20220117,1841,2,2,6,1,240000
